CMIP6 Compound Name,CMIP7 Compound Name,Branded Variable Name,Link to Ranking,Min Rank in CMIP6 download statistics,Physical Parameter,Units (from Physical Parameter),CF Standard Name (from Physical Parameter),Title,Description,Spatial Shape,Extra dimensions,Coordinates,Type,Modelling Realm - Primary,Modelling Realm - Secondary,Dimensions,CMIP6 Table (legacy),CMIP6 Frequency (legacy),CMIP7 Frequency,Processing Note,Table Section (CMIP6),Positive Direction,Provenance,Temporal Shape,Cell Methods,Cell Measures,ESM-BCV 1.4,CMIP7 Variable Groups,Opportunity (from CMIP7 Variable Groups),Experiment Groups (from Opportunity),List of Experiments,Disambiguation,Temporal Sampling Rate,Horizontal Mesh,Vertical Dimension,Size,Conditional,Region,CF Standard Name (from Coordinates),Priority 3 (CMIP6),Priority 2 (CMIP6),Priority 1 (CMIP6),Variable Status,Physical Parameter Status,Flag - known issue,Branded Variable Name status,Flag - variable change since CMIP6,UID
Eday.mrsol,land.mrsol.tavg-sl-hxy-lnd.day.GLB,mrsol_tavg-sl-hxy-lnd,Eday.mrsol,107,mrsol,kg m-2,mass_content_of_water_in_soil_layer,Total Water Content of Soil Layer,"in each soil layer, the mass of water in all phases, including ice.  Reported as ""missing"" for grid cells occupied entirely by ""sea""",Global field on soil levels,,,real,land,,"longitude, latitude, sdepth, time",Eday,day,day,,,,C4MIP [L_day],time-intv,area: mean where land time: mean,area: areacella,,"biodiv_freshwater_daily,biodiv_land_daily,paleo_permafrost","Water Security and Freshwater Ecosystem Services,Terrestrial Biodiversity,""Paleoclimate Research at the Interface between Past, Present, and Future""","historical,scenarios,fast-track,dcpp,damip_experiment_group,picontrol,highresmip2-ia,scenarios,historical,picontrol,conc-driven-scenario-extensions,highresmip2-ia,scenarios,pmip,historical,picontrol,scenarios_extensions","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-p4k,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-hc-ext,esm-scen7-hc-ext-os,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-mlc,esm-scen7-mlc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-scen7-vlloc,esm-scen7-vlloc-ext,esm-up2p0,g7-1p5K-sai,highres-future-xxx,highresSST-pxxkpat,hist-1950,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-hc-ext,scen7-hc-ext-os,scen7-lc,scen7-lc-ext,scen7-mc,scen7-mc-ext,scen7-mlc,scen7-mlc-ext,scen7-vlhoc,scen7-vlhoc-ext,scen7-vlloc,scen7-vlloc-ext",,3650,68400,6,1497.960,,GLB,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,8b7ffa9e-4a5b-11e6-9cd2-ac72891c3257
Emon.mrsol,land.mrsol.tavg-sl-hxy-lnd.mon.GLB,mrsol_tavg-sl-hxy-lnd,Emon.mrsol,94,mrsol,kg m-2,mass_content_of_water_in_soil_layer,Total Water Content of Soil Layer,"in each soil layer, the mass of water in all phases, including ice.  Reported as ""missing"" for grid cells occupied entirely by ""sea""",Global field on soil levels,,,real,land,,"longitude, latitude, sdepth, time",Emon,mon,mon,,,,C4MIP [C_LandT1],time-intv,area: mean where land time: mean,area: areacella,,"land_benchmarking_and_landcover_variables_tier1,paleo_permafrost,CFMIP-aux,tipmip_extended","Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,""Paleoclimate Research at the Interface between Past, Present, and Future"",""Clouds, circulation and climate sensitivity: baseline"",""Clouds, circulation and climate sensitivity: extension for process-level studies"",Robust Risk Assessment of Tipping Points","fast-track,historical,scenarios,scenarios,pmip,historical,picontrol,scenarios_extensions,deck,fast-track_cfmip,cfmip-additional-nonfasttrack,cfmip_amip_amip4K,cfmip-additional-nonfasttrack,picontrol,scenarios,historical,tipmip-experiments","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-m4K,amip-p4k,amip-p4K-SST-rad,amip-p4K-SST-turb,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-hc-ext,esm-scen7-hc-ext-os,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-mlc,esm-scen7-mlc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-scen7-vlloc,esm-scen7-vlloc-ext,esm-up2p0,esm-up2p0-gwl1p5,esm-up2p0-gwl2p0,esm-up2p0-gwl2p0-50y-dn2p0,esm-up2p0-gwl3p0,esm-up2p0-gwl4p0,esm-up2p0-gwl4p0-50y-dn2p0,esm-up2p0-gwl4p0-50y-dn2p0-gwl2p0,esm-up2p0-gwl5p0,g7-1p5K-sai,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-hc-ext,scen7-hc-ext-os,scen7-lc,scen7-lc-ext,scen7-mc,scen7-mc-ext,scen7-mlc,scen7-mlc-ext,scen7-vlhoc,scen7-vlhoc-ext,scen7-vlloc,scen7-vlloc-ext",,120,68400,6,49.248,,GLB,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,8b803cac-4a5b-11e6-9cd2-ac72891c3257
3hr.mrsos,land.mrsol.tpt-d10cm-hxy-lnd.3hr.GLB,mrsol_tpt-d10cm-hxy-lnd,3hr.mrsos,175,mrsos,kg m-2,mass_content_of_water_in_soil_layer,Moisture in Upper Portion of Soil Column,the mass of water in all phases in a thin surface soil layer.,Global field (single level),,sdepth10cm,real,land,,"longitude, latitude, time1, sdepth10cm",3hr,3hrPt,3hr,"integrate over uppermost 10 cm. CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time sdepth1 CMIP7:longitude latitude time sdepth10cm,",,,3hr ((isd.003)),time-point,area: mean where land time: point,area: areacella,,"landatm_coupling_3hA,WaterResources_subdaily","Accurate assessment of land-atmosphere coupling,""Assessments for Hydrological Processes, Water Resources, and Freshwater Systems"",Water Security and Freshwater Ecosystem Services","historical,scenarios,scenarios,historical,dcpp,picontrol,lmip,highresmip2-ia,historical,scenarios,fast-track,dcpp,damip_experiment_group,picontrol,highresmip2-ia","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-p4k,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-up2p0,g7-1p5K-sai,highres-future-xxx,highresSST-pxxkpat,hist-1950,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-aer,piClim-anthro,piClim-CH4,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-lc,scen7-mc,scen7-mlc,scen7-vlhoc,scen7-vlloc",,29200,68400,1,1997.280,,GLB,depth,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,checked,bab1c668-e5dd-11e5-8482-ac72891c3257
day.mrsos,land.mrsol.tavg-d10cm-hxy-lnd.day.GLB,mrsol_tavg-d10cm-hxy-lnd,day.mrsos,123,mrsos,kg m-2,mass_content_of_water_in_soil_layer,Moisture in Upper Portion of Soil Column,the mass of water in all phases in a thin surface soil layer.,Global field (single level),,sdepth10cm,real,land,,"longitude, latitude, time, sdepth10cm",day,day,day,"integrate over uppermost 10 cm. CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time sdepth1 CMIP7:longitude latitude time sdepth10cm,",day_oth,,day ((isd.003)),time-intv,area: mean where land time: mean,area: areacella,,"biodiv_freshwater_daily,biodiv_land_daily,CFMIP-daily,HealthFloodingDaily,temperature_variability_daily_highpriority,WaterResources_daily,hydrology","Water Security and Freshwater Ecosystem Services,Terrestrial Biodiversity,""Clouds, circulation and climate sensitivity: baseline"",""Clouds, circulation and climate sensitivity: extension for process-level studies"",Health Impacts,Diagnosing temperature variability and extremes,""Assessments for Hydrological Processes, Water Resources, and Freshwater Systems"",Water Security and Freshwater Ecosystem Services,""Assessments for Hydrological Processes, Water Resources, and Freshwater Systems""","historical,scenarios,fast-track,dcpp,damip_experiment_group,picontrol,highresmip2-ia,scenarios,historical,picontrol,conc-driven-scenario-extensions,highresmip2-ia,deck,fast-track_cfmip,cfmip-additional-nonfasttrack,cfmip_amip_amip4K,cfmip-additional-nonfasttrack,deck,historical,scenarios,damip_experiment_group,dcpp,aerchemmip,highresmip2-ia,temperature_variability_opportunity,scenarios,highresmip2-ia,scenarios,historical,dcpp,picontrol,lmip,highresmip2-ia,historical,scenarios,fast-track,dcpp,damip_experiment_group,picontrol,highresmip2-ia,scenarios,historical,dcpp,picontrol,lmip,highresmip2-ia","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-m4K,amip-p4k,amip-p4K-SST-rad,amip-p4K-SST-turb,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-up2p0,g7-1p5K-sai,highres-future-xxx,highresSST-pxxkpat,hist-1950,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-hc-ext,scen7-hc-ext-os,scen7-lc,scen7-lc-ext,scen7-mc,scen7-mc-ext,scen7-mlc,scen7-mlc-ext,scen7-vlhoc,scen7-vlhoc-ext,scen7-vlloc,scen7-vlloc-ext",,3650,68400,1,249.660,,GLB,depth,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,checked,bab1ca14-e5dd-11e5-8482-ac72891c3257
Lmon.mrsos,land.mrsol.tavg-d10cm-hxy-lnd.mon.GLB,mrsol_tavg-d10cm-hxy-lnd,Lmon.mrsos,65,mrsos,kg m-2,mass_content_of_water_in_soil_layer,Moisture in Upper Portion of Soil Column,the mass of water in all phases in a thin surface soil layer.,Global field (single level),,sdepth10cm,real,land,,"longitude, latitude, time, sdepth10cm",Lmon,mon,mon,"integrate over uppermost 10 cm. CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time sdepth1 CMIP7:longitude latitude time sdepth10cm,",,,Lmon ((isd.003)),time-intv,area: mean where land time: mean,area: areacella,Lmon.mrsos,"baseline_monthly,DAMIP_monthly,DCPP_Essential,land_benchmarking_and_landcover_variables_tier1,ref_land_and_landice,WaterResources_monthly,CFMIP-aux,dynamical_downscaling_soil","""Advancing Wind Wave Climate Modelling for Coastal Zone Dynamics, Impacts, and Risk Assessment"",""Assessments for Hydrological Processes, Water Resources, and Freshwater Systems"",Baseline Climate Variables for Earth System Modelling,Changes in marine biogeochemical cycles and ecosystem processes,Earth's Energy Budget,Effects and Feedbacks of Wind-Driven Ocean Surface Waves Coupled Within Earth System Models,""Glacier changes, drivers, and impacts"",""Ice sheet mass loss, contributions to sea level rise and freshwater flux input to the climate system"",""Ocean Changes, Drivers and Impacts"",""Sea Ice Changes, Drivers and Impacts"",Understanding the role of atmospheric composition for air quality and climate change,Water cycle/budget assessment,Detection and Attribution,Multi-annual-to-decadal predictability of the Earth System and risk assessment of climate extremes,Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,Rapid Evaluation Framework,""Assessments for Hydrological Processes, Water Resources, and Freshwater Systems"",Water Security and Freshwater Ecosystem Services,""Clouds, circulation and climate sensitivity: baseline"",""Clouds, circulation and climate sensitivity: extension for process-level studies"",Dynamical Downscaling ","historical,scenarios,deck,scenarios_extensions,scenarios,historical,dcpp,picontrol,lmip,highresmip2-ia,deck,fast-track,scenarios,historical,all-non-fasttrack,historical,scenarios,picontrol,scenarios_extensions-low-medium-high,scenarios,historical,picontrol,deck_idealized_co2_experiments,deck,scenarios,historical,fast-track,scenarios_extensions,historical,scenarios,picontrol,scenarios,historical,picontrol,ismip7-scenario-extensions,deck,fast-track,scenarios,historical,scenarios_extensions,deck,fast-track,scenarios,scenarios_extensions,aerchemmip,deck,fast-track,historical,scenarios,scenarios,historical,picontrol,damip_experiment_group,dcpp,historical,picontrol,climate_extreme,dcpp-cmip6-exps,fast-track,historical,scenarios,fast-track,deck,scenarios,historical,dcpp,picontrol,lmip,highresmip2-ia,historical,scenarios,fast-track,dcpp,damip_experiment_group,picontrol,highresmip2-ia,deck,fast-track_cfmip,cfmip-additional-nonfasttrack,cfmip_amip_amip4K,cfmip-additional-nonfasttrack,fast-track,scenarios,historical","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-irr,amip-m4K,amip-noirr,amip-p4k,amip-p4K-SST-rad,amip-p4K-SST-turb,amip-piForcing,dcppA-assim,dcppA-hindcast,dcppB-forecast,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-s7h-noFireChange,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-hc-ext,esm-scen7-hc-ext-os,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-mlc,esm-scen7-mlc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-scen7-vlloc,esm-scen7-vlloc-ext,esm-up2p0,esm-up2p0-gwl1p5,esm-up2p0-gwl2p0,esm-up2p0-gwl2p0-50y-dn2p0,esm-up2p0-gwl3p0,esm-up2p0-gwl4p0,esm-up2p0-gwl4p0-50y-dn2p0,esm-up2p0-gwl4p0-50y-dn2p0-gwl2p0,esm-up2p0-gwl5p0,g7-1p5K-sai,highres-future-xxx,highresSST-pxxkpat,hist-1950,hist-aer,hist-GHG,hist-irr,hist-nat,hist-noFire,hist-noirr,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-hc-ext,scen7-hc-ext-os,scen7-lc,scen7-lc-ext,scen7-mc,scen7-mc-ext,scen7-mlc,scen7-mlc-ext,scen7-vlhoc,scen7-vlhoc-ext,scen7-vlloc,scen7-vlloc-ext",,120,68400,1,8.208,,GLB,depth,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,checked,bab1c85c-e5dd-11e5-8482-ac72891c3257
Emon.mrsosLut,land.mrsolLut.tavg-d10cm-hxy-multi.mon.GLB,mrsolLut_tavg-d10cm-hxy-multi,Emon.mrsosLut,855,mrsosLut,kg m-2,mass_content_of_water_in_soil_layer,Moisture in Upper Portion of Soil Column of Land-Use Tile,the mass of water in all phases in a thin surface layer; integrate over uppermost 10cm,Global field (single level),landuse,sdepth10cm,real,land,,"longitude, latitude, landuse, time, sdepth10cm",Emon,mon,mon,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time sdepth1 CMIP7:longitude latitude landuse time sdepth10cm,",,,LUMIP [Lmon_Lut],time-intv,area: time: mean where sector,area: areacella,,landuse,Land use change,"historical,scenarios,lmip","esm-hist,esm-scen7-hc,esm-scen7-lc,esm-scen7-mc-ext,esm-scen7-vlho-Aer,esm-scen7-vlhoc-ext,esm-up2p0,historical,land-hist,scen7-hc,scen7-lc,scen7-mc,scen7-mlc,scen7-vlhoc,scen7-vlloc",,120,68400,1,32.832,,GLB,depth,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,checked,d22ddb3e-4a9f-11e6-b84e-ac72891c3257
Eday.mrsow,land.mrsow.tavg-u-hxy-lnd.day.GLB,mrsow_tavg-u-hxy-lnd,Eday.mrsow,1107,mrsow,1,volume_fraction_of_condensed_water_in_soil_at_field_capacity,Total Soil Wetness,relative_soil_moisture_content_above_field_capacity,Global field (single level),,,real,land,,"longitude, latitude, time",Eday,day,day,,,,LS3MIP [LWday],time-intv,area: mean where land time: mean,area: areacella,,biodiv_freshwater_daily,Water Security and Freshwater Ecosystem Services,"historical,scenarios,fast-track,dcpp,damip_experiment_group,picontrol,highresmip2-ia","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-p4k,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-up2p0,g7-1p5K-sai,highres-future-xxx,highresSST-pxxkpat,hist-1950,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-lc,scen7-mc,scen7-mlc,scen7-vlhoc,scen7-vlloc",,3650,68400,1,249.660,,GLB,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,d228a402-4a9f-11e6-b84e-ac72891c3257
Eday.mrtws,land.mrtws.tavg-u-hxy-lnd.day.GLB,mrtws_tavg-u-hxy-lnd,Eday.mrtws,1122,mrtws,kg m-2,land_water_amount,Terrestrial Water Storage,canopy_and_surface_and_subsurface_water_amount,Global field (single level),,,real,land,,"longitude, latitude, time",Eday,day,day,,,,LS3MIP [LWday],time-intv,area: mean where land time: mean,area: areacella,,"biodiv_freshwater_daily,hydrology","Water Security and Freshwater Ecosystem Services,""Assessments for Hydrological Processes, Water Resources, and Freshwater Systems""","historical,scenarios,fast-track,dcpp,damip_experiment_group,picontrol,highresmip2-ia,scenarios,historical,dcpp,picontrol,lmip,highresmip2-ia","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-p4k,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-up2p0,g7-1p5K-sai,highres-future-xxx,highresSST-pxxkpat,hist-1950,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-lc,scen7-mc,scen7-mlc,scen7-vlhoc,scen7-vlloc",,3650,68400,1,249.660,,GLB,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,d228ad76-4a9f-11e6-b84e-ac72891c3257
Emon.mrtws,land.mrtws.tavg-u-hxy-lnd.mon.GLB,mrtws_tavg-u-hxy-lnd,Emon.mrtws,453,mrtws,kg m-2,land_water_amount,Terrestrial Water Storage,"requested for C4MIP, OCMIP/OMIP, LUMIP, ScenarioMIP, DECK, DAMIP, GeoMIP, LS3MIP, ??",Global field (single level),,,real,land,,"longitude, latitude, time",Emon,mon,mon,,,,C4MIP [C_LandT2],time-intv,area: mean where land time: mean,area: areacella,,"land_benchmarking_and_landcover_variables_tier1,land_benchmarking_and_landcover_variables_tier2","Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles","fast-track,historical,scenarios,fast-track,historical,scenarios","1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-127k,amip-p4k,amip-piForcing,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-up2p0,g7-1p5K-sai,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-aer,piClim-CH4,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,scen7-hc,scen7-lc,scen7-mc,scen7-mlc,scen7-vlhoc,scen7-vlloc",,120,68400,1,8.208,,GLB,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,6f6a4484-9acb-11e6-b7ee-ac72891c3257
Omon.msftbarot,ocean.msftbarot.tavg-u-hxy-sea.mon.GLB,msftbarot_tavg-u-hxy-sea,Omon.msftbarot,101,msftbarot,kg s-1,ocean_barotropic_mass_streamfunction,Ocean Barotropic Mass Streamfunction,Streamfunction or its approximation for free surface models. See OMDP document for details.,Global field (single level),,,real,ocean,,"longitude, latitude, time",Omon,mon,mon,Report on native horizontal grid as well as on a spherical latitude/longitude grid.,Omon_oth,,Omon ((isd.003)),time-intv,area: mean where sea time: mean,area: areacello,,"DCPP_Essential,omip_transports_high_priority","Multi-annual-to-decadal predictability of the Earth System and risk assessment of climate extremes,""Ocean Changes, Drivers and Impacts""","dcpp,historical,picontrol,climate_extreme,dcpp-cmip6-exps,deck,fast-track,scenarios,historical,scenarios_extensions","1pctCO2,1pctCO2-bgc,1pctCO2-rad,abrupt-0p5CO2,abrupt-2xCO2,abrupt-4xCO2,abrupt-127k,amip,amip-p4k,amip-piForcing,dcppA-assim,dcppA-hindcast,dcppB-forecast,dcppB-forecast-cmip6,esm-flat10,esm-flat10-cdr,esm-flat10-zec,esm-hist,esm-piControl,esm-scen7-h-Aer,esm-scen7-h-AQ,esm-scen7-hc,esm-scen7-hc-ext,esm-scen7-hc-ext-os,esm-scen7-lc,esm-scen7-lc-ext,esm-scen7-mc,esm-scen7-mc-ext,esm-scen7-mlc,esm-scen7-mlc-ext,esm-scen7-vlho-Aer,esm-scen7-vlho-AQ,esm-scen7-vlhoc,esm-scen7-vlhoc-ext,esm-scen7-vlloc,esm-scen7-vlloc-ext,esm-up2p0,g7-1p5K-sai,hist-aer,hist-GHG,hist-nat,hist-piAer,hist-piAQ,historical,land-hist,piClim-4xCO2,piClim-aer,piClim-anthro,piClim-CH4,piClim-control,piClim-histaer,piClim-histall,piClim-N2O,piClim-NOX,piClim-ODS,piClim-SO2,piControl,scen7-hc,scen7-hc-ext,scen7-hc-ext-os,scen7-lc,scen7-lc-ext,scen7-mc,scen7-mc-ext,scen7-mlc,scen7-mlc-ext,scen7-vlhoc,scen7-vlhoc-ext,scen7-vlloc,scen7-vlloc-ext",,120,68400,1,8.208,,GLB,,,,,CMIP6 CMOR variable,Existing physical parameter,,Accepted,,baa57250-e5dd-11e5-8482-ac72891c3257
